category,path,label,true_type,true_location,verdict,defect_type,location,explanation,valid,p_defective,latency_s,prompt_tokens,completion_tokens,raw,config
bottle,bottle/test/good/000.png,0,none,none,good,none,none,,True,0.06007880776474365,5.156122572021559,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/001.png,0,none,none,defective,broken_small,bottom,,True,0.7980571662865559,6.844745087029878,391,24,"{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""bottom""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/002.png,0,none,none,good,none,none,,True,0.012431313903533898,5.300991815980524,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/003.png,0,none,none,good,none,none,,True,0.008577118320519073,5.2909469560254365,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/004.png,0,none,none,good,none,none,,True,0.008577108139840361,5.387742625025567,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/005.png,0,none,none,good,none,none,,True,0.16453756845857306,5.6724158829892986,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/006.png,0,none,none,good,none,none,,True,0.09532957141770525,5.381142261030618,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/007.png,0,none,none,good,none,none,,True,0.008577116094871651,5.385896320047323,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/008.png,0,none,none,good,none,none,,True,0.010986601761858837,5.380091594997793,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/009.png,0,none,none,good,none,none,,True,0.007576983080830846,6.822924167965539,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/010.png,0,none,none,good,none,none,,True,0.006692690687489674,5.2938128870446235,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
